text,main_category,rating,verified_purchase,helpful_vote,category
There really is in my opinion the only thing that I liked above other security software is the email checking.<br /><br />On the negative side the software is constantly updating itself which on my PC slowed it down or stopped other use.  When doing a virus check with only 25G in use it would completely stop all other use for over an hour (I could play solitare if I didn't change games).,Software,2.0,False,1,Software
"This Antivirus Software at one time was the best,  but now the maybe the worst, don't know what happened to this company.  I will not buy it again.  Would not recommend it to anyone again.  I'm thinking about just removing it and tossing it away,  had to down load some free Malware Software to remove Viruses.  BEWARE",Unknown,1.0,True,0,Software
Not developed by Google = Not official App. Beware that any YouTube app not specifically developed by Google LLC is not officially supported and you may have given your login details to a phishing/scam third-party. I advise to delete app and change your Google password.,Appstore for Android,1.0,True,10,Software
"The reason I gave it an all 5is because other people can help you build the stuff you need ,also you name your City I named mine Greenville this is the,most awesome game in history you can help others to 👏👏👏👏👏 I 💞 it",Appstore for Android,5.0,True,3,Software
A) I really like the Fire. But...<br />B) the camera only faces me. When I try to take a picture away from me I can't &#34;frame&#34; it easily<br />C) in low light or flash situations the photo is grainy.,Appstore for Android,1.0,True,2,Software
"I'm sure that I'm not alone when I say that as a senior, I find that not enough time is given to comprehend  what is to be done and how to do it.  We can't compete against the under age 30s; our brains don't react as fast.  Slow it down please.",Appstore for Android,3.0,True,63,Software
Not sure whether this is a problem on Amazon's end or Navy Federal's but the app is completely broken on my Kindle Fire HDX. When I try to log in the app gets stuck in a refresh loop - flashing between a black screen and the login attempt. It never exists the loop until I force stop the app - so it's impossible to log in.,Appstore for Android,2.0,True,21,Software
I love the game it gives me great joy when I out score my friends I wish the time did not run out every time you play and have to wait to get enough time to enjoy a good session is there a way that can be done,Appstore for Android,5.0,True,1,Software
"Honesty this game was great before all the new updates such as the map with the beach and nail salon, now the game is super glitchy and it lags all the time, it takes up so much storage and it isn't fun with all the glitches. But I really like the feature that lets you color their hair and do many hair styles. Plz fix the laging and glitches. Thank you.",Appstore for Android,3.0,True,42,Software
It's a nice concept but did have problems with the game.  Sometimes when you try to aim the bow it will move on it's own to the left or right side of the target area and you have no control.  This has only happened once since I started using the app.,Appstore for Android,3.0,True,4,Software
"I like being able to design a house without goals like jobs, friends, etc.; however, everything takes way too long to be delivered.  So you really only play the game for a few minutes while you wait.  I wish you could also interact with items.",Appstore for Android,3.0,True,0,Software
"It used to be very nice software as well as very helpful customer service. But, not the worst customer service people from other end of the world.. who doesnt even know how to use the software.<br /><br />its not able to import any data from bank and compare.",Software,1.0,False,3,Software
"I really like it so far. The only downside for me is that it only has 1 of my local channels.  Not a huge deal cuz I can just use an antenna, I can't record any shows on those channels is all. Otherwise 2 thumbs up.",Appstore for Android,4.0,True,0,Software
Great app. Play for hours hard to beat it though. Butt it makes the game more challenging that way. Different backgrounds you can choose from. Commercials at the bottom so is not annoying like some apps.,Appstore for Android,5.0,True,0,Software
I was playing it when I accidentally got a skin that was $4000 (game money.) I was kind of bummed so I went to buy some since I was saving up for a $13000 weapon and tryed to buy $3000 and It would not let me! I even exited the game and it still would not let me.,Appstore for Android,4.0,True,8,Software
"Nothing beats a real jigsaw puzzle, but if you don't have the time, the space, or a storage place this is a great alternative. The different skill levels make it great for us adults and still not be impossible for his to do.",Appstore for Android,5.0,True,2,Software
This is a great product but it was beyond me to rate that &#34;I love it.&#34;  I mean...really....<br />I have used this product for more than 10 years and it gets better and better each year.<br />I am hoping I live long enough to see the edition where I scan in all my reptinent info and it does my taxes and sends it to the IRS while I do something more exciting.,Software,4.0,True,0,Software
I have had this game for some time on my Kindle Fire and if it worked right it would be about 4stars. It crashes and has to be reinstalled often.  in addition if you are keeping cumulative score with Vegas scoring it will randomly revert to old scores when you close the app.  Very frustrating when you have a good run and close out then go back and find your run is gone and you are back to where you started.  I have had enough and am looking for another solitaire app.,Appstore for Android,2.0,True,2,Software
"Small, mac compatible, lots of storage. I like an external drive I can take with me without needing an entire other bag to carry it in. This works well. The cord is a little questionable, it's an odd connection going into the drive itself (opposite the USB) and perhaps the passport studio remedies that with the other connection type, but this was much cheaper and has all the same other specs as this one.",Software,5.0,True,0,Software
"Playing Angry birds Go! on my Kindle Fire is fun...playing it with my grandson was a blast!!<br />We had a lot of fun  ""driving"" with my Kindle as the steering wheel and bouncing around on the couch with the Birds.<br />Great fun, easy to play.",Appstore for Android,4.0,True,1,Software
This game can be very addictive. There are alot of levels so it also gets challenging fairly fast. Also lives renew every five minutes instead of every thirty minutes so there is much more play time than with other games.,Appstore for Android,5.0,True,3,Software
Microsoft does not consider this the &#34;full version&#34; so I could not upgrade it to a usable version. Windows 8.1 is unusable - and if you can't upgrade then you are stuck. I had to buy Windows 7 and throw this one away.<br /><br />Developers - please don't force me to use this OS! I have Windows running in a VM so that I can continue to use windows-only software. At this point I only have one application that still forces me to use windows.,Software,1.0,True,0,Software
"I am very disappointed. I bought this so I could play against my sister who has an iPad.Maybe I am missing something, but I can't figure out how to play against her.. or how to play with someone in the same room as me (muli player like on the iPad). Very disappointing.",Appstore for Android,1.0,True,2,Software
Did exactly what it claimed and was easy to use. Was a nice change as I was fixing my music Library today and whne through 50+ programs to get the deed done right. Also let me put my songs on my phone whne all the other apps were download only... I had to use a different app for the download after the conversion. very happy now though.,Software,5.0,False,1,Software
"slow ,boring,  not interesting. I thought that it would be challenging. but its not. didn't even get passed the 1st level before I deleted it. just like there other games not worth the room on your fire, or the time. sorry but it sucked.",Appstore for Android,1.0,True,2,Software
Fun and distraction I love it very much thankfully you for your business and pranks to the quantities and AWESOME job is epic pranks the giant tuts to get money for the quantities and distraction from,Appstore for Android,5.0,True,3,Software
Everything you ever need in terms of a dictionary. Not for nothing the price is ludicrous but I got it for free so its amazing. Also it nearly takes 1gb worth of space when downloading it full so heads up.,Appstore for Android,5.0,True,0,Software
"I just wasted hours trying to retrieve my tax forms (federal and state) from Turbotax. They want me to pay them $30 to get a live human to assist me. Unless I do that, I am stuck with the snarky ""helpers"" in their community forum. I wasted hours this week that I will never get back. I managed to get back on Amazon and go through a convoluted process that I cannot repeat and after seven days of trying, I could finally get my 2021 tax documents. This is a huge pain and I will NOT EVER spend another dime on this product. It is not worth the stress and headache and utter lack of customer service.",Software,1.0,True,0,Software
An excellent puzzle game.  LOVE the abiltity to 'cheat' for the answer -- even then it is sometimes difficult.  Nice difficult puzzles with a few thrown in that are easier so I am not totally bummed out by a lack of accomplishment!,Appstore for Android,4.0,True,4,Software
The game itself is interesting however. You we'll spend a lot of money just to complete the quest. You have the option to earn free pixels but you have to sign up for something. You also don't earn more pixels when you level up.,Appstore for Android,1.0,True,0,Software
"I have been in the computer buissness for many years. I have spent considerable time battling virus's and spyware. Panda brings all these problems to a screetching halt. I hear my co-workers complaning about what their internet security programs have let through, and I simply tell them to get panda, set it and forget it. You will not go wrong with this product!!!!",Software,5.0,False,2,Software
"When I first bought this software, it was slow as a snail. Later, it began to get faster with continuous updating. I had been using Office '03 at my job and at home via wine for a very long time. The menus and functionality are extremely similar. The ribbon is an abomination and even harder to use than the Microsoft '07 one. I still am comfortable with using the file menus though. I think it was worth it instead of the headache of emulating it was giving me. I would recommend this for any new mac user, but for veterans try the much cheaper iWork.",Software,3.0,False,0,Software
hard to believe this is a free game. even harder to stay away from it and not play.  so much fun.  keeps you busy in your shop which you can decorate and move around. the Animals are adorable. goals are easy to reach and neighbors are a plenty.,Appstore for Android,5.0,True,0,Software
"I have used older versions of Quicken for the past 15 years or so and this is the absolute worst! Navigating is horribly confusing, the ease of opening new accounts and managing them has disappeared and what used to be simple transactions and entering them has become a total nightmare. Quicken 2007 Basic was so nice and easy to use. Why did they have to change it so that it's virtually unusable?<br />Learn from my mistake and do not buy this!",Software,1.0,True,0,Software
"I can no longer get KINDLE on my tablet, I do not know what has happen, they tried to help me but t did not work, they took me to another way, but sometimes you have to be near WIFI for me to read my books.  :(",Software,1.0,True,0,Software
"This is a fun app that I play whenever I get bored and I don't want to play any other apps. It makes me want to try the real life thing in Japan, though.<br /><br />I have no issues with this app, except for the slow accept time of &#34;prize items&#34;. If my ball falls into the hole at the same time as the prize, it doesn't register it so I have to drop another ball into it. Other than that, this app works great on my kindle fire. I have yet to see any real issues.",Appstore for Android,4.0,True,4,Software
"The can be an awesome game! I was hooked the brief time I played it. The was only problems I personally had with it.<br /><br />1. The app would stop at random<br />2. Moved really slow at times<br /><br />Other than that, I had no other issues with the game. I still recommend it.",Appstore for Android,3.0,True,64,Software
"I like candy crush because it is always challenging. There are some levels that are harder than others but then you get some fairly easy levels. This makes me want to keep playing.  If it got too hard all the time, I would probably quit.  Keep it fun and I will keep playing.  I am on level 435.",Appstore for Android,5.0,False,0,Software
"Great App! No complaints, watch out and about all the time. Will automatically go to the movie I was watching previously and picknup where I left off. Very happy with Hallmark Now App and love their movies! Just wish they would add all their Christmas movies especially since that's why Im paying for the app is just for Christmas movies.",Appstore for Android,5.0,True,0,Software
Yes it is a good program but the vendor/creator fixed it to the machine you install it on so when the pc dies and you need to replace it they want you to buy the software again. This is a very bad way to do business.,Software,1.0,False,0,Software
Why doesn't the app for the Amazon Fire products auto reconnect? It's dangerous when you have no idea when the VPN is no longer working!<br /><br />The latest update has killed all of the Windflix connections on the Amazon Fire products! Please properly QC your products before releasing updates!,Appstore for Android,1.0,True,24,Software
"This is a great product for my 6 YO boy, it teaches and entertains at the same time, he likes to play with it everyday after school.  He is learning a lot of stuff in this fantastic program, we are very happy to have it.",Appstore for Android,5.0,True,5,Software
"Although some of the references seem very forced, this game is solid for a free game, and there is no pay to win elements. It is very addicting and genuinely is challenging at a certain point. Children will probably enjoy this game, but as an adult, I find it just as enjoyable! Recommend this to anyone who is bored frequently.",Appstore for Android,5.0,True,4,Software
"Must have app for firestick. This app allows you to download apk links instantly then opens and installs the apk onto the firestick then removes the apk file. This won't jailbreak a fire stick. It just allows you to download any working app that Amazon may not have avaliable in store. I used mine for Terrarium and it's been fantastic. Many kids apps and games that can be done via firestick, little bugy because it's not meant for fire.",Appstore for Android,5.0,True,2,Software
"I play escape games very often and really enjoy them, however with this game the hints were used up quickly. I found the graphics to be excellent and felt like I was in the room, which was fun. Am looking forward to buying more hints and spending more time with this game. Good job!  Just wish my budget for this sort of thing was bigger or that there was a truly free version.",Appstore for Android,4.0,True,15,Software
My kid loves this app. She used to get on the desktop computer to play on the PBS kids website but now has access to it through her tablet. I love this app because i know she is playing and listening to games that are appropriate for her age.,Appstore for Android,5.0,True,20,Software
"I thought this was going to be a background on the Kindle but it's not, I guess that's my fault for misinterpreting the product description. Disappointed. The images are beautiful and the music is soothing, but I wanted to be able to have this going while using other apps (for example, have the music playing while reading a book, or the images in the background of the main screen) and it doesn't work that way. I don't think I'll ever use it.",Appstore for Android,3.0,True,3,Software
"It seems like a fun game, but you can't do anything without stars and they take too long to get. You use energy to play a scene, which you have to play the same one multiple times to earn one star. Then you can view the victim, suspect or evidence, but only one till you get another star. And you can only get one before your energy is gone. There has to be a better way, it's not fun when it takes so long.",Appstore for Android,2.0,True,0,Software
"I play a lot of puzzles while waiting and like the choice of subject matter, number of pieces and rotation.  There are a great number of included puzzles and no constant ads to buy.  Been using it on several different devices for over a year with no problems",Appstore for Android,5.0,True,0,Software
"awesome game!  numerous categories to choose from (9);  can skip easily from one category/level to another and without being charged coins;  level of difficulty is not too easy, not too hard.  Best version I've so far encountered.<br /><br />The downside to the game is that when one buys a hint, the letter is not saved.  When you return to a particular level, if you're as absentminded as I am, you wont recall what the letter was or where and have to buy it again!!",Appstore for Android,4.0,True,0,Software
"Good value for the $28+ price.  Does not suck computer resources when it runs - not like McAfee.  The Site Advisor part shows if your IE google results are questionable websites.  I depend on that part.  But for some reason, the green and yellow checkmarks do not show up with google Chrome.",Software,5.0,True,0,Software
This is an awesome game. When your wored and want to do something then you can play &quot;wild craft&quot;. It never gets old. And also you can play with freinds . Everyone should go and get &quot;wild craft&quot;,Appstore for Android,5.0,True,24,Software
"Well I was disappointed, it said it was free but it wasn’t. I guess it meant the app was free. I have a granddaughter that is having trouble in math at 1st grade level and I was just looking for something simple to get her build up the basic. I don’t have her enough to do a monthly fee. Their summers are so short.",Appstore for Android,2.0,True,5,Software
"I love the game, but when I had to reset my kindle, I lost all prior progress. I was up to level 122! All because for some obscure reason, it won't let me connect to Facebook while playing, so where I was up to was lost. Just devastating...when I can connect to Facebook through the game, I'll revise my rating...",Appstore for Android,3.0,True,1,Software
This Echo app is a must have when you purchase your Echo and use it with your Kindle tablet.  It has worked outstanding with my Echo and offers easy to follow directions. Improvements to your Echo are automatically performed by the great techs at Echo.,Appstore for Android,5.0,True,0,Software
"Minecraft has all the things that I like in games. It is fun easy and has pets. I made a zoo, hotel, and a lot of waterfalls. I also laid a trap for my brother with angry wolves. I reccomend this game for anyone who loves to be creative.",Appstore for Android,5.0,True,23,Software
Buggy and not much change over 2013 version. Didnt work with some of my accounts and constantly freezes when I tried to reset those. Mortgage balance doesnt get updated if you pay extra. Too bad there is not much competition on this market,Software,2.0,True,0,Software
it is a great app . fun for kids getting to run there own pet shops. Only thing is diamonds its just cause all cute pets r diamonds.  and to all those people who swy my kids bought diamonds and ot was 50 dollars well mabye u should not review about that because the game didnt do it ur kid did so dont give it a bad review because u didnt teach ur kid not to buy somthing with real money for a game do its really ur fault u people get -----900000 stars :( great game dont listen to them.,Appstore for Android,5.0,True,0,Software
"Turbo tax is easy to run but forget about support for a specific issue.  I've used it for years but this year I had a lump sum to compute.  I entered info correctly but on review it told me to make the amounts zero, which is totally incorrect. Appeared to be perhaps a software problem? I emailed, asked the community, and tried to live chat with no response.  Apparently, you have to pay for live chat.  I printed forms, got out my pencil and figured my taxes.  Learned a lot and will not buy Turbo tax again.",Software,2.0,False,0,Software
I love these guys they never have a problem.I have a go game from them and chess they're both excellent this backgammon game is no exception they put everything in here that you need to play the game perfectly the AI is superb and the game is always just as fun as playing the real-life version if you love these kinds of games download it.,Appstore for Android,5.0,True,1,Software
"Could get it to open with my user id and password without paying again. Found a work around online by going to settings, apps and games.  open up manage appds. Go to the hbo max and clear data &amp; clear cache. Remove app from kindle then download the app again.  Once I did that it open right up to my account.",Appstore for Android,3.0,True,74,Software
"I installed this on my system and then the problems began. Eventually I couldn't open any e-mail. there are too many bugs in this product. I don't recommend it until they fix it to work seemlessly with Firefox, IE and ZoneAlarm Security Suite settings. This version keeps blocking e-mails or use of my system. I've had to install a totally new harddrive so I can use my computer again.",Software,1.0,False,2,Software
"It's fun, but there are times that I feel the game is unfair. As in you need keys, and none drop etc. The other thing is I am on a quest to open 3 gates....I have gone 40 rounds twice with gates. Other than that it's fun.",Appstore for Android,4.0,True,0,Software
"I've been using Broderbund Printshop for years, making business cards, labels, posters, etc. and find it very easy to use.  I purchased the 23.1 version, as it is compatible to Windows 7, even though I did use Printshop 22 on Windows 7, by changing the compatbiliy mode to Windows XP.  This version of Printshop works better and even more compatible when Importing files.  Shipping time was acceptible.",Software,5.0,True,1,Software
"Very good quality game, the fast sports cars do cost to much but that is no setback, I will have to spend real money for that. The latest update is an exciting one though, one thing, the icon is different in the carousel than the games folder or what you call it.",Appstore for Android,5.0,True,6,Software
"All the Mahjong games so far have been absolutely awesome and addictive that I have played so far. I can't wait to learn and play a lot more games. Being a senior I am not as quick at these games as the younger kids are, so it takes me longer to play and concur games today, but I am doing it, look out angry birds here I come!!!!!",Appstore for Android,5.0,True,0,Software
"Paid for Mcgregor fight, took forever to figure out how to start it on the firestick.  Called Amazon couldn't get through.  I got it working and then it stopped again and will not let me log in, says connection failed.  I have been on hold with Amazon and they are experiencing longer than normal lead times, said they will call me back in 30 min.  WTF? NOT A HAPPY CAMPER",Appstore for Android,1.0,True,0,Software
My little sister plays all the time but then I can't get my videos done :( she always says for me to look then I leave my viewers in suspense<br />Sorry if you don't like it I kinda don't either but my 4 year old sis does so 5 stars from a fifth grader,Appstore for Android,5.0,True,30,Software
I loaded this thinking I could listen to more than the top xxx pieces of music. There is so much more but it wasn't made obvious how to get to other stations. If I have to slog to find what I want I take that as a clue I have taken the wrong direction. I removed this from my Kindle and the Cloud after a frustrating hour of trying to get it do what it implied.,Appstore for Android,1.0,True,17,Software
"It's definitely a challenge enough to keep me engaged but I ran out of hints before I could unlock the 2nd level. When I went to buy some, the app couldn't find my WiFi signal. Apparently, it's working fine. Fix that and it'll be great!😀",Appstore for Android,3.0,True,2,Software
"ha, ha useing this progam  it dd not work ?. for us ,had to have pros do our taxes . we have come to the place that we still need<br />help, more so than this program can give.<br /><br />PS  turbo tax was a west of our money,",Software,1.0,True,1,Software
"Much like everyone else the game consistently shows the first ten levels even though I purchased the game in full. However if you press the $9.99 button again you WILL NOT be charged another ten dollars. It just loaded up my levels to wherever I left off previously (level 15, 20, 25, etc) and I never lost any data. The challenges are tougher as you go along and the storyline is cute. So what I mentioned earlier is the only drawback. That is really the only issue and it is fairly minor.<br /><br />Fix that issue and I will happily give it to five stars.",Appstore for Android,4.0,True,12,Software
This is a fantastic game. It is both challenging and fun. The graphics are beautiful! My complaint is that it is very short. I'm not sure there was even 2 hours of game time. I am relieved I downloaded this as the Amazon app of the day because I would have been very disappointed had I paid the $3.99 list price for it.,Appstore for Android,4.0,True,0,Software
I needed something that would let me know when to expect a full moon and it found it. I can now prepare myself for shape shift on my phone versus my calendar. This app would be killer with a sky map and similar concept to view other planets.,Appstore for Android,5.0,True,0,Software
"Can not plug into the TV and play from this app, it shuts it down and tells me to disconnect the 2nd screen. You suck ABC! I just wanted to catch a show I missed on the TV, my TV & my Device you should let me choose.",Appstore for Android,2.0,True,2,Software
"I first started writing scripts with Microsoft Word. Anyone who has done the same understands the challenge of doing that with consistent quality results in format. Final Draft makes it easy to focus on the work and not the process.<br /><br />Important to me, when I had a question about any aspect of the program, I went directly to Final Draft's tech support team.  They didn't hesitate to help and always had the answer, which saved me time.",Software,5.0,False,0,Software
"This was one of the worst software programs that I have ever tried to install on my computer.  The install was very difficult, the updating module loaded incorrectly.  I spent over 6 hours hanging on the phone on three occasions waiting for a service agent to assist me.<br /><br />I finally had to have a agents help to uninstall the program, and I returned the program to Amazon for a refund.<br /><br />Almost any of the free antivirus programs are a better choice.",Software,1.0,False,8,Software
You start of with 10 games and enough coins to buy 2 more. Getting coins is easy by just playing the games a few times. They'll all be unlocked in no time. It's so easy! Great entertainment. People gave it 1 star complain about only 10 games that is clearly stated in the description. GREAT APP.,Appstore for Android,5.0,True,0,Software
"Very easy to use.  Allows for update of last's year tax info from Taxcut as well as Turbo Tax.  Gets really a 4.8--minor issue of not being able to clearly move from ""Whole Form"" (i.e., the actual tax form in the software)back to the interview (you have to close the form, and not look for an arrow to move to the next screen as in the interview). Has efiling at no extra cost for federral and one state--how can you beat that!",Software,5.0,False,0,Software
"I just purchased the newest version of CorelDRAW 14. I have been using CorelDRAW almost since its inception. My first version was CorelDRAW 3. They really went all-out then and included art created by their users, etc. I've used Adobe products, Photoshop, etc. and still believe, to this day, CorelDRAW has it hands-down with its products. So much easier to use, more transparent, no contest!!! Will always keep purchasing CorelDRAW. Just love it!!!!!!",Software,5.0,True,2,Software
"Cannot sync Collections between iPad to Windows or Android to PC. Works OK between Android to iPad, though.<br />Interface totally different between Kindle for PC and iPad/Andriod. Seems as if Kindle for PC is a shell of Android/iPad Kindle. I cannot recommend Kindle for PC due to serious lack of features and usability.",Software,1.0,True,0,Software
"I have been a Windows user for many years now and was kinda hesitant about switching to Mac OS X. I've got to say that I absolutely love this OS! It seems way more stable and user friendly then Windows. Don't get me wrong I still use Windows from time to time, but I am in love with this OS. You can't go wrong with Apple's Mac OS X Snow Leopard. Give it a try!",Software,5.0,True,0,Software
This is a fun game along the lines of guitar hero. Blocks drop letting you know which keys to hit and when.  It's very entertaining.<br />Something I had to do was lay my phone down on a flat surface so that my fingers could move better/faster.,Appstore for Android,5.0,True,0,Software
I can't even play this game because it keeps saying no internet connection. Really??? I have 5 bars of 3g network. Plus 5 bars of WiFi network. So why on the world can't I play??? Fix this and I will play instead of requesting for my money back.,Appstore for Android,1.0,True,1,Software
received today // will install when current  subscriptions expire --  have used this specific  Norton product for years and have confidence in it.  Deal of the day on Amazon & price prompted a now purchase to use when needed.,Software,5.0,True,0,Software
I have been using this product since it came out 80's I believe? I run  a SMALL  business and the prompts are easy the navigation is easy and the previous year's imports are easy. It's also cheaper than TT. I highly recommend it,Software,5.0,False,0,Software
"My son really was excited to get this. I watched as he started to play for the first time. When the shark attacked a person and resulted in splattering of blood, I immediately stop the game and deleted from his kindle. He is 7 and didn't really know what he saw but it is these types of ideas that numbs children to violence. I'll keep my children as naive as I can. It was my fault for not trying the game by myself first. I thought the rating of  age 4+ meant it was suitable for young children.",Appstore for Android,1.0,True,2,Software
I tried the fruit brand applications and once I found that I could use my Kindle Fire with this app I downloaded it immediately.  The ability to just  tilt the Kindle FIre is so much more intuitive it's no comparison to the joy stick operation of others.  So simple and easy to control...<br /><br />Thanks to Amazon for not following the stance that brand orange took................you know you can'tcompare Amazon's and........uhhhh.....uhhhh oranges.,Appstore for Android,5.0,True,0,Software
"Artflow is by far the best app I've used for art. I've been using it (the free version!) For over a year and a half and I love it. I am going to buy the pro version soon. My only complaint is the inability to select particular parts for movement and adjustment, but even that is a minor inconvenience. I highly recommend this app.",Appstore for Android,5.0,True,473,Software
"I,m become addicted to the game.  I start out with the intentions of playing for a short time, and before I realize it , hours have passed.  I had to stop playing at bedtime, I was loosing too much sleep.",Appstore for Android,5.0,True,0,Software
"This app has been marginal for a year, very slow to load and buggy. I have a paid subscription to WSJ. For the past 10 days the news pages are blank. The ads are still there but no news. I have contacted Amazon and WSJ. Nothing has changed. My iPod  WSJ app is working. So it seems to be a WSJ server to Kindle problem. The only good news about no news is I have a lot more space on my HD.",Appstore for Android,1.0,True,0,Software
"Scroll does not work on the Kindle Fire or I would have given 5 stars. Works great on Android phone though. Outstanding reference tool. Nice Youtube API for SC vids as well. DEV appears to be updating APP every few months (last update 11/30/2015), so it will even get better.",Appstore for Android,4.0,True,0,Software
"Lots of different Free modes.  Haven't tried Any of the &#34;Pay To Play&#34; (did I just make that up,  or does that terminology already exist?) modes as of yet.<br />Challenging. .... Did I mention that I love a challenge?  I even own a Challeng-er, Ride that is. .. lol",Appstore for Android,5.0,True,0,Software
"Pluto has a good selection of movies, however the time frame between watching the movie and commercials is too frecuent,  the movie time is too short ending up watching more commercials than regular T.V.  If people have the patience to go through those commercials, then is something to try, if not; don't bother.",Appstore for Android,4.0,True,0,Software
Please fix this!!! You are spawned in what seems like a lake... but it is just a big puddle of water that follows you everywhere........ Please fix this it makes this game very difficult then I will rate it 5 but for now it will be 2,Appstore for Android,2.0,True,11,Software
"one of the best rogue-lites i've played on a mobile device.  Simple, to the point, and plays like a champ.  Zooming options are great, and it looks excellent when output to an HDTV.<br /><br />If you've played anything from Shiren the Wanderer to Chocobo's Mystery Dungeon, you'll feel right at home here.",Appstore for Android,4.0,True,0,Software
This game is lots oif fun. If u get stuck just google the questions and the whole puzzle comes up four you. Great if u r stuck again. Once u get enough coins u really dont need to google coz u can afford coins.,Appstore for Android,5.0,True,3,Software
I downloaded this app mostly for my mom and we are both happy with the movie selections. Picture clarity is good👍! I am not happy about the way the movies/app cuts off in the middle of the movies. I've had to uninstall and download app twice already. Is there a solution to this problem?,Appstore for Android,3.0,True,0,Software
"WAY too much FINE PRINT.<br />I downloaded the app and started to read all the specifics. Just show me the<br />WEATHER, don't track me, monitor my<br />usage, sell me  or do anything to cram anymore money into the corporate pockets.<br /><br />I thus removed the 1/2 baked App.<br /><br />Reading is fundamental.<br /><br />Read the fine print BEFORE clicking &#34;I agree&#34;.<br /><br />Just think, all this to check the weather.?",Appstore for Android,1.0,True,0,Software
"Its pretty normal restaurant game and fast paced which makes it stressfully fun! Definately reccomended. I love how as you get further and upgrade you get more food to make and serve, definately makes it harder.",Appstore for Android,4.0,True,0,Software
"Continues to be just incremental updates, but far more stable than the first, terrible releases of 2016 that never got fixed.  Cleaner (metro-style) UI is nice, adds integration with Zillow for home value.<br /><br />Only downside is that this is still the ONLY reason I run Parallels on my Mac.  Why we can't get to a cloud app or an app that is equally functional on Mac/PC is insanely frustrating.",Software,4.0,False,0,Software
"Once you open the game it tells you there is a new update waiting, but then once you try to update it, it won't let you. Then if you try to play the game again it says it needs a new update! Please fix soon!",Appstore for Android,1.0,True,2,Software
"Fun game but can quickly become an expensive habit.  I think a lot of the game action moves WAY too slow on purpose and it drives me crazy...and into spending money to speed things up.  Which, of course, is exactly what Electronic Arts wants anyway.",Appstore for Android,4.0,True,0,Software
The app can now update so stop whining about it everyone I don't know how the creator can put up with this bullcrap I mean seriously if you want to play so bad program it yourself if you have a reason to whine. To every one else this is a good game and you should try it because of the great gameplay and animation,Appstore for Android,5.0,True,80,Software
This game is very fun. I enjoy it. The only thing I do not like is how long you have to wait to start a new chapter. Also the chapters are short. Some are sad but some are fun. I think you should get it.,Appstore for Android,4.0,True,1,Software
"A senior-year communications/film-studies college student finds this software very useful in his work. It is reported to be the best choice for editing video presentations for all purposes (including thesis projects - where time is tight and getting it right the first time is important). Thus, the parent of this student, and purchaser of the software, has good reason to rate it highly - even though I, personally, would not be able to judge its merits.",Software,5.0,True,2,Software
