text,main_category,rating,verified_purchase,helpful_vote,category,ai_score
"I bought this to sit by our master bath tub , I was expecting a bit more of a soft  smell however this is pretty fragrant, and it is a bit more sweet than I was hoping however it’s still keeping the entire bathroom scented for over 2 months now and it had relaxed with the smell now so it’s much nicer.",Handmade,3.0,True,3,Handmade Products,8.344650268554688e-05
"At first I was in love with this pin. The jewel was a different color than I expected and the owner was extremely nice and sent me another one so I put a new one on. I kept it in the original box for about 3 weeks and I opened it the day before pinning and it had changed colors. It seems as if the black from the lettering tarnished the rose gold plate. I’m not picky and I hate complaining but it’s upsetting that the day before one of the most important days of my life, it looks like this and there’s nothing I can do about it. 😞",Handmade,1.0,True,0,Handmade Products,8.714921546637555e-05
"I bought this for a present for a boyfriend who loved Weimaraners. Well he broke up with me a few days after it came--at least I hadn't bought a frame for it.--so I returned it. His loss.<br />I own a cat rescue and although I think this is a handsome breed, not something I'd display. If this artist did watercolors of cats, I'd be the first to buy one!",Handmade,5.0,True,0,Handmade Products,0.0008629428015827223
"I did not like the skimpy petals, gold fleck and green moss. The ring is 65 % clear colored resin! Plus pay attention to the mm width of the band.<br /> 4-7 looks more like 2.5 mm. It isn't an ugly ring but definitely the ad photo isn't what you get!!!",Handmade,2.0,True,0,Handmade Products,8.344650268554688e-05
"I was pleased that I could choose the patterns I wanted.  I chose three for grandson and three for grandaughter.  They were so excited.  Nice not to use wasteful paper products, but fun to have prints that are child friendly.<br />The size and thickness are good for children.",Handmade,5.0,True,0,Handmade Products,0.0641061862309722
"This almond goat milk so is so soft and creamy, I bought another bar immediately. It’s very lightly scented, almost imperceptible. So not a strong, perfumy soap but as stated before, it is luxuriously creamy.",Handmade,5.0,True,0,Handmade Products,7.152557373046875e-05
I put in a custom Order for a themed pc build I am doing. These exceeded my expectations. The vinyl feels very high quality and came exactly as I ordered. I will definitely order again for my next pc build or any other project where I need decals.,Handmade,5.0,True,0,Handmade Products,8.171254938238448e-05
Not at all like the advertisement. Yes the earrings are light weight but they are not comfortable. You have to carefully pinch them closed or you’ll mess up the shape. The earrings are extremely delicate.,Handmade,1.0,True,0,Handmade Products,0.0007375426914424388
"I was looking for something that would really create a ""wow"" factor in a navy blue walled bathroom.  This is not it.  The colors are muted and a bit boring.  I did wipe down the walls prior to application, but the tops of them are still rolling down from gravity.  The good news is that they appear to come off well?",Handmade,4.0,True,1,Handmade Products,0.0005541663420816079
"I absolutely love my Goldendoodle art. It is absolutely stunning. Lisa is an amazing artist. I immediately put it in my frame and took a picture with one of my doodles, I have two. Thank you so very much! Lisa you have out did yourself and your work is extraordinary!",Handmade,5.0,True,0,Handmade Products,0.00020549410865156048
"I was disappointed that this doesn't wow me. The colors of the beads I received are much duller than the photo. The beads themselves are on the large size, and the bracelet itself is too large for my wrist. It would fit a heavier woman, or a small man. As a rosary, or worry beads, it's fine.",Handmade,5.0,False,0,Handmade Products,63.7097760582062
"My Bonnie and Clyde photos arrived in a secure, well packaged envelope to ensure my photos did NOT have bends or curls. I am so glad that I made this purchase. Excellent quality, great definition, not fuzzy. Any fan or admirer of their era should definitely add these to their collection.",Handmade,5.0,True,0,Handmade Products,0.00013425701954616898
"My daughter is an artist and a gardener, so the design on the cover of this book really appealed to me for her.  She sketches gardens and flower layouts, and this will be a perfect place to keep them.",Handmade,5.0,True,1,Handmade Products,99.99780368814251
"This was a gift picked out by my daughter for my wife, and she absolutely loves it! I thought it was a bit small, but that shows what I know about necklaces... It's a great small piece, understated but elegant.",Handmade,5.0,True,0,Handmade Products,1.0121907179172274
"I got one for me, and one for a friend in California. We had them connected and setup. 24 hours later mine will not connect to Wi-Fi any longer. I have been trying unsuccessfully for days. Turns out I was sent only 1/2 of my item. My friends came with the lamp, and bridge (which is used for the WIFI connection). I have a fancy flashing paperweight, as I can't even control the colors locally if its not connected to Wi-Fi.<br />Buy from a more reputable seller.",Handmade,2.0,True,4,Handmade Products,0.0003061853013575089
"These masks fit my face perfectly, which has been difficult to find. They have an adjustable piece around the nose and a piece of fabric that goes under your chin, as well as adjusters on the ear straps. All of these features make it so you are not constantly adjusting your mask, which is awesome. Oh, and they come with filter inserts as well as some filters. These masks have it all. 10/10 definitely recommend.",Handmade,5.0,True,0,Handmade Products,0.0017238987816692308
Wow very nice product. The quality is amazing! If you’re thinking about getting the pictures don’t just buy them!!!! From the packaging to the actual product I’m very pleased thank you soooo much!!!<br />Also was thinking about getting the let’s cuddle picture they sent a thank you card and on the back it’s that sign it’s a 5x7 but hey a very nice freebie!!! Definitely be ordering from this company again!!!,Handmade,5.0,True,0,Handmade Products,8.344650268554688e-05
"I like this ring a lot, and wear it all the time.  The maker had limited sizes, so I bought an 8, which is too big, so I wear it on my middle finger.  It looks great and I forget that I have it on.  I am very glad that I purchased this item.",Handmade,5.0,True,1,Handmade Products,0.00012632626206210418
"I LOVE IT! I’m definitely saving you for future orders. It’s beautiful and dainty but sturdy enough. Great customer service, very prompt on responses. The seller worked with me and gave me detailed product description since I’m allergic to a lot of metals. Thank you!!!",Handmade,5.0,True,7,Handmade Products,0.00023199961736164454
"This bell siphon works great for my aquaponics setup.<br />I as able to use the stock drain with some 2"" pvc pipe, pvc glue and silicone to make sure it was sealed on my 250gal IBC tote. Using lava rock from home depot that i've cleaned out.",Handmade,5.0,True,1,Handmade Products,0.00014172659980049573
"This is my second magnet that I’ve ordered from this company and I am so happy with the quality of the product.  I was hesitant at first, as I HAD to pay for shipping, and it would be 1.5weeks out or so..BUT it’s worth the shipping (quality product and packaging) it’s worth the wait (and arrived early both times btw) and it’s SUPER cute and funny and makes me smile when I look at the fridge.",Handmade,5.0,True,0,Handmade Products,9.124524125159184e-05
I loved the curtains and I’m keeping them but they didn’t fit my window  I order to pieces like I normally use for my window and they were  like 7inches to small but I’m thing on ordering another set just to make sure they will be big enough very cute valance,Handmade,5.0,True,0,Handmade Products,8.380774295657645e-05
I love how this turned out. This is the second frame I bought because I thought I only needed one 8x10. I didn’t realize it was four 8x10 pictures. Guess I need to read the description better next time.,Handmade,5.0,False,2,Handmade Products,0.034433603286743164
With this being personalized I was expecting it to need to be handled with a lot of care or come broken in the mail. The actual topper came in the wood it was cut out from as a support while in transit and it held up very well. Was able to have it as a keepsake after and cut the end off to use as our first Xmas ornament!,Handmade,5.0,True,0,Handmade Products,8.344650268554688e-05
"This was a beautifully crafted music box. I really liked that I could add a personal message since it was a gift for my daughter that she can keep for years. Definitely worth the price, and delivered on time.",Handmade,5.0,True,0,Handmade Products,0.0009486410352921304
"I was looking for something to hang on the wall in my Mudroom to organize my keys, hats, mail, AND have a mirror!  THIS is perfect!  I got it in Gray and it looks great on my all and is exactly what I needed.  :-)",Handmade,5.0,True,0,Handmade Products,0.00011021630805796434
"I absolutely love these prints! They are on high quality paper and are so easy to work with and coordinate with other home decor. Since they are only 8x10s, I put a 11x14 mat around them in a black frame. Definitely worth the buy.",Handmade,5.0,True,0,Handmade Products,0.0008998172623786438
"This is the 3rd wreath I have bought from this vendor.  It is stunning and well-made.  I bought it for my Mom's door at her assisted living facility, and she gets lots of compliments on the wreaths.  It's the perfect size and adds a really bright pop of color.",Handmade,5.0,True,1,Handmade Products,0.08332355698542626
"I love the multiple color options and they shipped/arrived quickly. The only dislike I have is that it was difficult to attach the straps to the roll cage because there wasn't very much extra material to loop through the brackets and pull to tighten (maybe make the attachment straps an inch longer). Otherwise,  these are great quality and look really nice in my jeep.",Handmade,4.0,True,1,Handmade Products,8.375613720357222e-05
"I love using my pocket scarf for my wallet, keys, and phone while out running errands or playing at the park with the kids! Saves me from lugging my purse around everywhere and keeps my hands free - MOM WIN! I've even used it as a nursing cover. I'm sure it's great for travel, too... someday, I hope to use it for its intended purpose :)",Handmade,5.0,True,1,Handmade Products,99.98119481062027
"Bought this as a Christmas gift for my son and his wife. The got married inOctober and were thrilled with their first personalized Christmas ornament! Beautiful craftsmanship, nicely packaged and the perfect size to fit almost any tree.",Handmade,5.0,True,0,Handmade Products,99.32541619352205
I got this set for a gift for my daughter to wear to her brother's upcoming wedding. She will be wearing an emerald green dress and these will compliment beautifully. The color and quality of the stones are stunning. I do wish the chain wasn't so fragile. I'm hoping it doesn't break. Other than that pleased.,Handmade,5.0,False,0,Handmade Products,0.0003878621087527456
These soaps were a hit! At our baby shower. So we'll made. Delivered  perfectly!! Their<br />soaps smell great! Thank you for making our special day extra special. Highly  recommended you will not be disappointed!  I love the fact that we ended up supporting a local business right here in NJ.,Handmade,5.0,True,0,Handmade Products,0.00011689627348321352
"Graphics were NOT easy to apply. NOT a DIY project. Cheap vinyl ,scratches easily when removing air bubbles.<br />Requested refund after only using 1 decal. Was denied and told to hire a professional. Tore of our golf cart and put in trash. Will not recommend to friends and family.",Handmade,1.0,True,5,Handmade Products,8.717179298400879e-05
I wear this everyday and I love it.  I often wear it with Alex and Ani brand bracelets and this one stands out because it is not dull or tarnished looking like they are.  The sea glass heart is a very pretty blue color.,Handmade,4.0,True,0,Handmade Products,7.660300643808071e-05
"The picture on the front of this shirt is like a vynil iron on glitter, and it didn't look so glittery in the online pictures.  It bunches up really bad where the picture is because it's stiff, and drops glitter off it also.",Handmade,2.0,True,2,Handmade Products,8.004052298726805e-05
"I ordered this about 10 days before my husband and my 1st anniversary. I wasn’t supposed to get it until the day after our anniversary, but I messaged the seller and told her my situation and she had it to me within 3 days. I had it in time for our anniversary! Love it!",Handmade,5.0,True,0,Handmade Products,0.00024130850126979908
"I can not put into words how happy I am with this cake topper! It's beautiful and well made. It was also packed very safely so it arrived in perfect condition. It did smell strongly of spray paint when it first arrived but after being out of the package for a day, the smell was gone! I can't believe how nice this is for the price...it rivals ones I was looking at on Etsy but costs less than half the price!",Handmade,5.0,True,0,Handmade Products,0.0013905636807698407
"These clips are beautiful.  They hold well.<br />But they are right handed.  If you put them in left handed the butterflies are upside-down.<br />While this isn’t some secret international distress signal, it is frustrating.  I can put them in my daughter’s hair left handed - but I haven’t been able to adapt to the backward and behind-my-own- head excersise.",Handmade,4.0,True,0,Handmade Products,63.59579780693636
"I am happy with this purchase. They shipped item and I received it on time. I loaded onto my nine year old MacBook Pro and it works great. It took a while for the updates to load but over all, it was an excellent buy!",Unknown,5.0,True,0,Software,0.0002148059698225957
No way to advance. Earn 50-60 coins IF you pass a level which is highly unlikely! Boosters or anything cost 900+ coins. My point and bottom line is its a money hungry game....FOR YOUR MONEY! DON'T waste your time.,Appstore for Android,1.0,True,5,Software,7.629394531694089e-05
"I played another game similar in style, but it was way too easy. This game is actually challenging and fun! I have played it a few times over the past couple of days and am still not bored with it, the clues are subtle enough to keep you guessing.",Appstore for Android,5.0,True,0,Software,0.0011642064366990112
"This app doesn't allow you to save your progress to Facebook so when you get a new phone or tablet you have to start all over again.!!! Really makes me mad cause this is a fun game, just not worth having to start all over again",Appstore for Android,3.0,True,32,Software,0.007983354421758904
I love this game. Okay it every night. Just hate that when the hunts are over it takes so long for the game to update. Often times I end up missing the first week of the new city and have to hurry to complete the 2 week hunt.,Appstore for Android,4.0,True,37,Software,0.000341512538770683
"This is an exceptional tool that effectively reinforces the concepts my kindergartener is learning in school. The app's engaging graphics, amusing sound effects, and catchy rhymes are highly appealing to my daughter. It is worth noting that many teachers regularly employ Starfall in their classrooms. The only drawback is that the app occasionally fails to open, but other than that, it is definitely worth the investment.",Appstore for Android,4.0,True,1,Software,99.99992741815603
"I have been using MediaZilla for the last 6 months and recently they decided to change the character limit to 50, so any titles I had that were longer than 50 characters got cut off. This destroyed everything I worked on in an instant!! DO NOT USE THIS SERVICE!! They will make changes that mess up every project you make without hesitation.",Appstore for Android,1.0,False,0,Software,0.00262025376440711
"okay, so when I bought this app I didn't really think much of it. I just needed free apps for a long car ride. no sooner was I playing this app every chance I had! this is my favorite app that I have ever owned. it is so addicting, and it takes no longer than 13 minutes. also, many of the apps that I have drain my battery, and this isn't one! also, in this game you are allowed to ask for hints, customize cards, and see how to win the game. buying this app was the best choice I have made.",Appstore for Android,5.0,True,0,Software,8.819549064398302e-05
"I love playing these games - the Hidden Object Quest line of games is the best!!! I love the sophisticated graphics, and being able to choose your challenge for each level keeps it more interesting than your usual run-of-the-mill hidden object game. I just love it!",Appstore for Android,5.0,True,2,Software,1.8291795048220427
"Would recommend this app to everybody...<br />The only thing is I would like to able to buy the land without having to ask friend's.<br />I don't have that many friends, and have less when I push any game app at them.",Appstore for Android,5.0,True,0,Software,9.585400017053658e-05
"Terrible.  I can't even draw people . I thought this would be easier than procreate. I really like drawing and this is not a good was to start your career. I wanted to be an illustrater and draw my stories but NO. I am not going to spend 1,000$ on an I pad just for drawing. If you have a phone, I recommend procreate pocket.😡",Appstore for Android,1.0,True,4,Software,0.0005708184353192536
"Paid for Mcgregor fight, took forever to figure out how to start it on the firestick.  Called Amazon couldn't get through.  I got it working and then it stopped again and will not let me log in, says connection failed.  I have been on hold with Amazon and they are experiencing longer than normal lead times, said they will call me back in 30 min.  WTF? NOT A HAPPY CAMPER",Appstore for Android,1.0,True,0,Software,7.960104173587723e-05
I have used Turbo Tax for ten years for my personal income tax both state and federal. We Itemize our deductions and while we have not always gotten a refund - no fault of Turbo Tax- we feel we always have gotten all the deductions we were entitled to and some we might have missed<br />doing it ourselves. It has always been extremely simple and clear to complete and file our taxes and get our refunds direct deposited into our bank account. The price is well worth the product. Will continue to be an avid supporter.,Software,5.0,False,0,Software,8.083525158131266e-05
"Once again, my standards seem to be well below those of my peers who have earlier written of the horrors of this little game, because - for me, on my little Droid from Verizon - it's a fun diversion, for which I paid nothing, and which seems to work just fine.",Appstore for Android,4.0,True,0,Software,9.755293528534992e-05
"I don't like paying for individual videos on a streaming service, and there was no way to stop all the ads for pay per view, rent or buy content. The signal to noise ratio was just way too bad for me.",Appstore for Android,2.0,True,0,Software,0.00013733903566626182
I have loved playing game. I like obtaining and evolving the dinosaurs.  I love the dino battles. I really dislike what was done with the most recent update. The VIP subscription is expensive and a joke. I will not be buying into it.  I am hoping game play will not be ruined.,Appstore for Android,4.0,True,0,Software,8.66129994392395e-05
I have been waiting for this app to come to Android. It gets great reviews in the Apple App Store. I installed it on a Nabi 2 Kids tablet and so far it seems to be running well. I can't wait for more apps from this developer to become available for Android :) Have only had a little while to play the app so I will update my review with more information once I have more time to play the app. My kids have played it on the ipad so I know they will love it on Android too.,Appstore for Android,5.0,True,37,Software,0.05234890027877581
I got a million points NOT KIDDING for eating a megalodon so I unlocked an ice shark and an electric shark but for like 8 billion coins also its hard to get a great white  don't show that in your vid  future games of London,Appstore for Android,5.0,True,0,Software,0.0001324074608954895
"Amazon removes Parler but lets Twitter remain unchecked for the things Parler was banned for. There are just as much as violence, misinformation, etc on Twitter. More than Parler from both sides of the political isle.",Appstore for Android,1.0,False,2,Software,7.507648873694706e-05
I love Sims. but this game....idk. you have to 'wait' to do anything and you get so tired of waiting you forget and when you come back your Sims needs are down..AGAIN!!! I'm thinking about removing this..,Appstore for Android,3.0,True,0,Software,0.00017262422121744336
"For home use, Spotify is hands-down the best service out there. Not so much so on the go because of a lack of selectability of your artist's songs and albums. I it may be asking to much but it would be nice if you could use Alexa to control Spotify without having to pay for the premium upgrade.",Appstore for Android,5.0,True,0,Software,0.0033432946485612014
"Being very unfamiliar with computers and this type of shopping, I was VERY unsure if this is what I wanted to try.  My fears were that someone would steal my info, charge up my account, and cause all sorts  of problems....DID NOT HAPPEN.  The site is secure, PayPal is a great way secure safe purchases, and with the one problem I had with an item,  they both were very fair about it.  I like this!",Appstore for Android,5.0,True,2,Software,8.33236065145293e-05
"I had this installed for about a day.  I started with about 25 million and was up to 150 million very quickly.  The problem was that every game felt the same and I got bored quickly.  I raised my bet just trying to lose my money, which finally worked at around 10 million, and uninstalled.<br /><br />The ads are also an annoyance, sometimes popping up in the middle of a bonus.",Appstore for Android,2.0,True,1,Software,20.23655863806544
"For all the users, you don't have to pay for the fonts. It's b.s what others are saying that you do have to. The app comes fully equipped and ready to roll. Besides, the fonts you will download are free!",Appstore for Android,5.0,True,2,Software,99.80830052876487
"Rating based on performance.  The APP is a must for those that watch the market and have investments in either stocks, ETFs or bond buying.  Simple but yet powerful APP.  Would recommend to anyone that follows the markets.",Appstore for Android,5.0,True,0,Software,8.247336562572372e-05
"This game is awesome you can play all day if you want to but this game includes energy (why that?)<br />If your looking for a game that has a story to it, great graphics and so you can be a celebrity I would recommend this game.",Appstore for Android,5.0,True,0,Software,0.13152097280209052
"Scroll does not work on the Kindle Fire or I would have given 5 stars. Works great on Android phone though. Outstanding reference tool. Nice Youtube API for SC vids as well. DEV appears to be updating APP every few months (last update 11/30/2015), so it will even get better.",Appstore for Android,4.0,True,0,Software,0.00010096665584713449
"Love this game.  Generally played with 2 people at our household.  Game takes about 30-50 minutes. Game does not get dull or old, as we've had this game for few months and continue to play few times a month.  Gameboard looks great, and very detailed and colorful.",Appstore for Android,5.0,True,1,Software,8.268961830815158e-05
This game is terrible! You cannot move for they did not add any moving controls. It is was better on the computer. Just look up Crazymonkeygames.com and there are perfect FUN games and they let you. MOVE!,Appstore for Android,1.0,True,3,Software,8.636591385391412e-05
My 2 1/2 year old granddaughter really likes this app.  The only thing she doesn't like is when the baby doesn't want to eat her carrots and one other vegetable.  My granddaughter loves all vegetables so it makes her sad when the baby won't eat them.  They also play tea party and my granddaughter really likes making the tea and feeding the baby cookies.,Appstore for Android,4.0,True,11,Software,8.252950814968685e-05
So i was randomly looged off my kindle and it told me to update the app that didnt work my password phone number or gmail acc didnt work. I contacted a worker but they did nothing. I soon found out my acc got deleted so i guess i need a apple ipad witch is a waste of money thanks alot tik tok 😞,Appstore for Android,3.0,True,43,Software,8.344650268554688e-05
"This is a great matching game which continues to come up with different challenges. A bit of the game is just luck, but mostly it is strategy. I don't like that once I asked friends for help I couldn't play the mystery quests because you can be hampered for days if your friends aren't actively playing. Also some times my friends don't see the request for help. It would be good to get a confirmation on requests being received. But otherwise it's great fun.",Appstore for Android,4.0,True,0,Software,8.089201790628664e-05
"I installed this item with ease. Works very very well. My son does a lot of surfing from youtube to Dragonball Z to iTunes. This product caught over 12 suspicious items and removed them quickly. Has three scan settings: quick scan, full, scan, and an option to target what you want to scan.",Software,5.0,True,1,Software,55.90556469817574
Fun game but needs updates alot of update's and add people roaming around too and add bad guy cars that we can chase if they are going 80mph and 100mph and add 4 more cars then only 4 cars that's it also btw make the graphics better too piz.,Appstore for Android,5.0,True,55,Software,8.344650268554688e-05
"I am loving the Grammar Book. It has answered a lot of questions i had about word spelling and has helped tremendously with pronunciation. Having looked at the rest of it yet, but from what I have already experienced with Rosetta Stone French Onine, I's Super Excited to use my new Kit :)",Software,5.0,True,3,Software,7.189810276031494e-05
Loved this game! Beautiful graphics and unique and interesting storyline. The puzzles were challenging and fun. This is everything I look for in an adventure game. My only complaint was that it was a little too short. I could have played this game forever.,Appstore for Android,5.0,False,0,Software,99.49389819038224
"Extras don't help majority of time. I've used a 10 extra ball and didn't get either one of the 2 colors I needed, didn't drop a single ball. Definitely not random, they screw you over on the extras most time.",Appstore for Android,2.0,True,2,Software,7.152557373046875e-05
"After not working on my Kindle Fire since April, the Starz App started working again last week. I was embarrassingly excited. Yesterday, however, I received an email from Starz Help that the app had been &quot;fixed.&quot; Once again, I am unable to log in after choosing my cable provider. I am calling today to cancel Starz, as I am frustrated by paying for a service I am unable to use. Not even my beloved Outlander is worth this much trouble.",Appstore for Android,1.0,True,46,Software,99.99980387750186
its A good game you keep you. busy all the good games are at the end realy exspensive so you have to play like its your job to get all the points but the trick is to pick A game you are really good at and keep playing that one to get boness points,Appstore for Android,5.0,True,0,Software,0.00010337985929531612
"awesome game!  numerous categories to choose from (9);  can skip easily from one category/level to another and without being charged coins;  level of difficulty is not too easy, not too hard.  Best version I've so far encountered.<br /><br />The downside to the game is that when one buys a hint, the letter is not saved.  When you return to a particular level, if you're as absentminded as I am, you wont recall what the letter was or where and have to buy it again!!",Appstore for Android,4.0,True,0,Software,8.355688165817554e-05
I pay 10$ a month for the premium and I must say it's worth it. I can download music and listen to it whenever and wherever I am. There is no limit to the amount of music I can have or the playlists. I can share my music with friends or keep my playlist hidden for my own personal use. I love this app.,Appstore for Android,5.0,True,6,Software,99.97771331327385
"My son really was excited to get this. I watched as he started to play for the first time. When the shark attacked a person and resulted in splattering of blood, I immediately stop the game and deleted from his kindle. He is 7 and didn't really know what he saw but it is these types of ideas that numbs children to violence. I'll keep my children as naive as I can. It was my fault for not trying the game by myself first. I thought the rating of  age 4+ meant it was suitable for young children.",Appstore for Android,1.0,True,2,Software,0.13860578122346645
"Process was easy and instructions were clear. The free Online chat help was prettyy good, but not excellent. Electronic filing was easy and my state refund was obtained in less than a week. Federal refund is on track but  taking a while longer.",Software,5.0,True,1,Software,7.17548223616582e-05
I like that you don't need internet to play. My toddler loved it on our long road trip. It kept him occupied on and off throughout the ride. He loved moving all the animals and other objects around the screen.,Appstore for Android,5.0,True,29,Software,2.1369179512592096
"This app was alright.  It was very difficult for me and I just got bored with trying to get out of a room over and over, haha.  Once you play each round there really isn't a point in keeping the app.  I ended up deleting it after I completed all the levels.  Hence only 4 stars.",Appstore for Android,4.0,True,0,Software,7.221664207746059e-05
The triumph of hope over experience.  I hoped this would finally be the Mac version that was usable... Experience proved me wrong.  My biggest compliant is that in their apparent endeavor to make everything idiot proof they've created a product that is unusable because it is inflexible.,Software,1.0,True,0,Software,9.779202736481807e-05
When I first found this app I didn't know anything about it. I have had it for a couple years now and it has amazed me. Skit kids is a safe app where you can make videos and post them on a safe social media environment for kids. It has been a blast making skits and watching them too. I have cherished this app and surprisingly everyone in my class has the app. So I highly recommend it to you.,Appstore for Android,5.0,True,2,Software,8.266050737226749e-05
Instructions for installing needs to be clearer.  The instruction on the package received needs to tell you how to find the code to activate the software. Tech support did not help me find the code. Other tech support is in the future.,Software,3.0,True,0,Software,0.0010912418365482957
Very nice sleep sounds app.I like that you can combine sounds and change the volume of each. Sounds don't get repetitive like some sleep machines and/or sleep apps. Timer is helpful too so you don't end up running the app all night. Got this for free as an app of the day but would consider paying for it.,Appstore for Android,5.0,True,0,Software,8.311070186506342e-05
"Keep all your songs and set lists organized, change the key with a touch, enlarge font and set it to scroll, chord charts for multiple instruments, share sheet music via Bluetooth, sync with Dropbox, and much more. The only thing I don't like is the user manual. It reads more like an overview than a manual. It says what can be done, but not how. But be patient. Use the manual as a starting point, then start pushing buttons and experiment. It's worth the effort.",Appstore for Android,5.0,True,16,Software,99.6524061754179
Really upset my son's switch would shut off and relay it was too hot and after research i found out many of these things have the same issue. Gave this a try and it seems to work fine by sucking out hot air and replacing it with cool air at the same time. I placed some velcro on the back of his unit because this does not attach without the original base which he does not use,Video Games,5.0,True,1,Video Games,7.152557373046875e-05
I bought 2 of this item...one worked fine the second one never worked at all.<br />In the end my son used the item..but was really never too happy with it. We ended up trashing them and upgrading then to a totally different style and brand.,Video Games,2.0,True,0,Video Games,9.276650169143252e-05
I got this for work and it was on sale for $27. This thing rocks! You can't beat having a superior sensor for better accuracy and precision when using Microsoft access and clicking multiple buttons on a daily basis. I am not being sarcastic in this review either. Makes a big difference.,Computers,5.0,True,0,Video Games,2.9472938326538634
This is a decent mouse for $25 (on sale).<br />Pros:<br />Light weight<br />Good for claw grip<br />Buttons are responsive and tactile<br /><br />Cons:<br />Not comfortable for palm grip<br />Button layout on the side is weird specially the sniper button. Your thumb will rest on the sniper button which is bad if you palm grip.<br /><br />I would consider the razer deathadder or the logitech G403 if you want a better sensor and more comfortable ergonomic.,Computers,3.0,True,0,Video Games,0.00019542286905371853
This game is really fun if your a csi fan. You get to collect evidence and process it back in the lab. I have all the seasons on DVD and can't get enough. I hope they make another game to continue the fun.,Video Games,4.0,False,0,Video Games,0.6711368467293588
I bought this game new knowing I like the other Need for Speed games but I was disappointed. Its not at all like its previous games. I don't like finding cars I like buying and earning my cars. The cars are too touchy. You can't customize the cars. Where is the stupid story. I am going to buy a steering wheal to play this game one day. I would not have baught this game had I known this,Video Games,3.0,False,0,Video Games,0.5006816724072327
Great price for a great game! My husband loves this game and it gives him so much to do inside the game online. He can always go somewhere new or do something new. Best part is I bought it for Christmas for him and saved myself about $40 from retail prices in local stores!,Video Games,5.0,True,1,Video Games,0.0002700774396013905
"this headset is working well enough. But the microphone is way too sensitive. My friends never complained about my labored breathing when I used the RIG800. Now they are always like ""move that mic away from your mouth!"" and when I do they are like ""I can't hear you!""",Video Games,2.0,True,0,Video Games,0.00010344289964603348
"The only pro I can give this is the fact that it is rather fun to play alongside other people in a co-op campaign.<br /><br />Absolutely no story in this game whatsoever, and once the level cap is reached, grinding sucks what little joy out of it.",Video Games,2.0,True,0,Video Games,34.680018518809916
"Do you enjoy a racing guys that functions like an irrational toddler? A game that defies logic in every area of control? Than this game is for you. Who cares about the graphics, the multiple tracks, variety of drivers when the simple issue of bike control is so out of whack? Masochists only need apply.",Video Games,1.0,False,0,Video Games,0.00012289075290716767
"Got this for the bf and I kid you all not, he loved it so much! Got him the brown stitch with the wrist rest. APPROVED! Bf dubbed this as one his best gifts...who knew this was all it took.<br /><br />Anyways, if youre debating, stop! This is great and doesnt kill the pockets!",Computers,5.0,True,1,Video Games,7.152557373046875e-05
Worked well for about a month and a half served it purpose for the cost but figure by the time you buy a couple of these you may as well pay the price for the charger from Nintendo its only the price of two of these!,All Electronics,3.0,True,0,Video Games,8.296966552689966e-05
